0,1,2,3,converted_t,converted_intense
0,0,0,0,0.0,0.0
15360,0,0,0,60.0,0.0
30720,0,0,0,120.0,0.0
46080,0,0,0,180.0,0.0
61440,0,0,0,240.0,0.0
11265,0,0,0,300.0,0.0
26625,0,0,0,360.0,0.0
41985,0,0,0,420.0,0.0
57345,0,0,0,480.0,0.0
7170,0,0,0,540.0,0.0
22530,0,0,0,600.0,0.0
37890,0,0,0,660.0,0.0
53250,0,0,0,720.0,0.0
3075,0,0,0,780.0,0.0
18435,0,0,0,840.0,0.0
33795,0,0,0,900.0,0.0
49155,0,0,0,960.0,0.0
64515,0,0,0,1020.0,0.0
14340,0,0,0,1080.0,0.0
29700,0,0,0,1140.0,0.0
45060,0,0,0,1200.0,0.0
60420,0,0,0,1260.0,0.0
10245,0,0,0,1320.0,0.0
25605,0,0,0,1380.0,0.0
40965,0,0,0,1440.0,0.0
56325,0,0,0,1500.0,0.0
6150,0,0,0,1560.0,0.0
21510,0,0,0,1620.0,0.0
36870,0,0,0,1680.0,0.0
52230,0,0,0,1740.0,0.0
2055,0,0,0,1800.0,0.0
17415,0,0,0,1860.0,0.0
32775,0,0,0,1920.0,0.0
48135,0,0,0,1980.0,0.0
63495,0,0,0,2040.0,0.0
13320,0,0,0,2100.0,0.0
28680,0,0,0,2160.0,0.0
44040,0,0,0,2220.0,0.0
59400,0,0,0,2280.0,0.0
9225,0,0,0,2340.0,0.0
24585,0,0,0,2400.0,0.0
39945,0,0,0,2460.0,0.0
55305,0,0,0,2520.0,0.0
5130,0,0,0,2580.0,0.0
20490,0,0,0,2640.0,0.0
35850,0,0,0,2700.0,0.0
51210,0,0,0,2760.0,0.0
1035,0,0,0,2820.0,0.0
16395,0,0,0,2880.0,0.0
31755,0,0,0,2940.0,0.0
47115,0,0,0,3000.0,0.0
62475,0,0,0,3060.0,0.0
12300,0,0,0,3120.0,0.0
27660,0,0,0,3180.0,0.0
43020,0,0,0,3240.0,0.0
58380,0,0,0,3300.0,0.0
8205,0,0,0,3360.0,0.0
23565,0,0,0,3420.0,0.0
38925,0,0,0,3480.0,0.0
54285,0,0,0,3540.0,0.0
4110,0,0,0,3600.0,0.0
19470,0,0,0,3660.0,0.0
34830,0,0,0,3720.0,0.0
50190,0,0,0,3780.0,0.0
15,0,0,0,3840.0,0.0
15375,0,0,0,3900.0,0.0
30735,0,0,0,3960.0,0.0
46095,0,0,0,4020.0,0.0
61455,0,0,0,4080.0,0.0
11280,0,0,0,4140.0,0.0
26640,0,0,0,4200.0,0.0
42000,0,0,0,4260.0,0.0
57360,0,0,0,4320.0,0.0
7185,0,0,0,4380.0,0.0
22545,0,0,0,4440.0,0.0
37905,0,0,0,4500.0,0.0
53265,0,0,0,4560.0,0.0
3090,0,0,0,4620.0,0.0
18450,0,0,0,4680.0,0.0
33810,0,0,0,4740.0,0.0
49170,0,0,0,4800.0,0.0
64530,0,0,0,4860.0,0.0
14355,0,0,0,4920.0,0.0
29715,0,0,0,4980.0,0.0
45075,0,0,0,5040.0,0.0
60435,0,0,0,5100.0,0.0
10260,0,0,0,5160.0,0.0
25620,0,0,0,5220.0,0.0
40980,0,0,0,5280.0,0.0
56340,0,0,0,5340.0,0.0
6165,0,0,0,5400.0,0.0
21525,0,0,0,5460.0,0.0
36885,0,0,0,5520.0,0.0
52245,0,0,0,5580.0,0.0
2070,0,0,0,5640.0,0.0
17430,0,0,0,5700.0,0.0
32790,0,0,0,5760.0,0.0
48150,0,0,0,5820.0,0.0
63510,0,0,0,5880.0,0.0
13335,0,0,0,5940.0,0.0
28695,0,0,0,6000.0,0.0
44055,0,0,0,6060.0,0.0
59415,0,0,0,6120.0,0.0
9240,0,0,0,6180.0,0.0
24600,0,0,0,6240.0,0.0
39960,0,0,0,6300.0,0.0
55320,0,0,0,6360.0,0.0
5145,0,0,0,6420.0,0.0
20505,0,0,0,6480.0,0.0
35865,0,0,0,6540.0,0.0
51225,0,0,0,6600.0,0.0
1050,0,0,0,6660.0,0.0
16410,0,0,0,6720.0,0.0
31770,0,0,0,6780.0,0.0
47130,0,0,0,6840.0,0.0
62490,0,0,0,6900.0,0.0
12315,0,0,0,6960.0,0.0
27675,0,0,0,7020.0,0.0
43035,0,0,0,7080.0,0.0
58395,0,0,0,7140.0,0.0
8220,0,0,0,7200.0,0.0
23580,0,0,0,7260.0,0.0
38940,0,0,0,7320.0,0.0
54300,0,0,0,7380.0,0.0
4125,0,0,0,7440.0,0.0
19485,0,0,0,7500.0,0.0
34845,0,0,0,7560.0,0.0
50205,0,0,0,7620.0,0.0
30,0,0,0,7680.0,0.0
15390,0,0,0,7740.0,0.0
30750,0,0,0,7800.0,0.0
46110,0,0,0,7860.0,0.0
61470,0,0,0,7920.0,0.0
11295,0,0,0,7980.0,0.0
26655,0,0,0,8040.0,0.0
42015,0,0,0,8100.0,0.0
57375,0,0,0,8160.0,0.0
7200,0,0,0,8220.0,0.0
22560,0,0,0,8280.0,0.0
37920,0,0,0,8340.0,0.0
53280,0,0,0,8400.0,0.0
3105,0,0,0,8460.0,0.0
18465,0,0,0,8520.0,0.0
33825,0,0,0,8580.0,0.0
49185,0,0,0,8640.0,0.0
64545,0,0,0,8700.0,0.0
14370,0,0,0,8760.0,0.0
29730,0,0,0,8820.0,0.0
45090,0,0,0,8880.0,0.0
60450,0,0,0,8940.0,0.0
10275,0,0,0,9000.0,0.0
25635,0,0,0,9060.0,0.0
40995,0,0,0,9120.0,0.0
56355,0,0,0,9180.0,0.0
6180,0,0,0,9240.0,0.0
21540,0,0,0,9300.0,0.0
36900,0,0,0,9360.0,0.0
52260,0,0,0,9420.0,0.0
2085,0,0,0,9480.0,0.0
17445,0,0,0,9540.0,0.0
32805,0,0,0,9600.0,0.0
48165,0,0,0,9660.0,0.0
63525,0,0,0,9720.0,0.0
13350,0,0,0,9780.0,0.0
28710,0,0,0,9840.0,0.0
44070,0,0,0,9900.0,0.0
59430,0,0,0,9960.0,0.0
9511,0,0,0,10021.0,0.0
24871,0,0,0,10081.0,0.0
40231,0,0,0,10141.0,0.0
55591,0,0,0,10201.0,0.0
5416,0,0,0,10261.0,0.0
20776,0,0,0,10321.0,0.0
36136,0,0,0,10381.0,0.0
51496,0,0,0,10441.0,0.0
1321,0,0,0,10501.0,0.0
16681,0,0,0,10561.0,0.0
32041,0,0,0,10621.0,0.0
47401,0,0,0,10681.0,0.0
62761,0,0,0,10741.0,0.0
12586,0,0,0,10801.0,0.0
27946,0,0,0,10861.0,0.0
43306,0,0,0,10921.0,0.0
58666,0,0,0,10981.0,0.0
8491,0,0,0,11041.0,0.0
23851,0,0,0,11101.0,0.0
39211,0,0,0,11161.0,0.0
54571,0,0,0,11221.0,0.0
4396,0,0,0,11281.0,0.0
19756,0,0,0,11341.0,0.0
35116,0,0,0,11401.0,0.0
50476,0,0,0,11461.0,0.0
301,0,0,0,11521.0,0.0
15661,0,0,0,11581.0,0.0
31021,0,0,0,11641.0,0.0
46381,0,0,0,11701.0,0.0
61741,0,0,0,11761.0,0.0
11566,0,0,0,11821.0,0.0
26926,0,0,0,11881.0,0.0
42286,0,0,0,11941.0,0.0
57646,0,0,0,12001.0,0.0
7471,0,0,0,12061.0,0.0
22831,0,0,0,12121.0,0.0
38191,0,0,0,12181.0,0.0
53551,0,0,0,12241.0,0.0
3376,0,0,0,12301.0,0.0
18736,0,0,0,12361.0,0.0
34096,0,0,0,12421.0,0.0
49456,0,0,0,12481.0,0.0
64816,0,0,0,12541.0,0.0
14641,0,0,0,12601.0,0.0
30001,0,0,0,12661.0,0.0
45361,0,0,0,12721.0,0.0
60721,0,0,0,12781.0,0.0
10546,0,0,0,12841.0,0.0
25906,0,0,0,12901.0,0.0
41266,0,0,0,12961.0,0.0
56626,0,0,0,13021.0,0.0
6451,0,0,0,13081.0,0.0
21811,0,0,0,13141.0,0.0
37171,0,0,0,13201.0,0.0
52531,0,0,0,13261.0,0.0
2356,0,0,0,13321.0,0.0
17716,0,0,0,13381.0,0.0
33076,0,0,0,13441.0,0.0
48436,0,0,0,13501.0,0.0
63796,0,0,0,13561.0,0.0
13621,0,0,0,13621.0,0.0
28981,0,0,0,13681.0,0.0
44341,0,0,0,13741.0,0.0
59701,0,0,0,13801.0,0.0
9526,0,0,0,13861.0,0.0
24886,0,0,0,13921.0,0.0
40246,0,0,0,13981.0,0.0
55606,0,0,0,14041.0,0.0
5431,0,0,0,14101.0,0.0
20791,0,0,0,14161.0,0.0
36151,0,0,0,14221.0,0.0
51511,0,0,0,14281.0,0.0
1336,0,0,0,14341.0,0.0
16696,0,0,0,14401.0,0.0
32056,0,0,0,14461.0,0.0
47416,0,0,0,14521.0,0.0
62776,0,0,0,14581.0,0.0
12601,0,0,0,14641.0,0.0
27961,0,0,0,14701.0,0.0
43321,0,0,0,14761.0,0.0
58681,0,0,0,14821.0,0.0
8506,0,0,0,14881.0,0.0
23866,0,0,0,14941.0,0.0
39226,0,0,0,15001.0,0.0
54586,0,0,0,15061.0,0.0
4411,0,0,0,15121.0,0.0
19771,0,0,0,15181.0,0.0
35131,0,0,0,15241.0,0.0
50491,0,0,0,15301.0,0.0
316,0,0,0,15361.0,0.0
15676,0,0,0,15421.0,0.0
31036,0,0,0,15481.0,0.0
46396,0,0,0,15541.0,0.0
61756,0,0,0,15601.0,0.0
11581,0,0,0,15661.0,0.0
26941,0,0,0,15721.0,0.0
42301,0,0,0,15781.0,0.0
57661,0,0,0,15841.0,0.0
7486,0,0,0,15901.0,0.0
22846,0,0,0,15961.0,0.0
38206,0,0,0,16021.0,0.0
53566,0,0,0,16081.0,0.0
3391,0,0,0,16141.0,0.0
18751,0,0,0,16201.0,0.0
34111,0,0,0,16261.0,0.0
49471,0,0,0,16321.0,0.0
64831,0,0,0,16381.0,0.0
14656,0,0,0,16441.0,0.0
30016,0,0,0,16501.0,0.0
45376,0,0,0,16561.0,0.0
60736,0,0,0,16621.0,0.0
10561,0,0,0,16681.0,0.0
25921,0,0,0,16741.0,0.0
41281,0,0,0,16801.0,0.0
56641,0,0,0,16861.0,0.0
6466,0,0,0,16921.0,0.0
21826,0,0,0,16981.0,0.0
37186,0,0,0,17041.0,0.0
52546,0,0,0,17101.0,0.0
2371,0,0,0,17161.0,0.0
17731,0,0,0,17221.0,0.0
33091,0,0,0,17281.0,0.0
48451,0,0,0,17341.0,0.0
63811,0,0,0,17401.0,0.0
13636,0,0,0,17461.0,0.0
28996,0,0,0,17521.0,0.0
44356,0,0,0,17581.0,0.0
59716,0,0,0,17641.0,0.0
9541,0,0,0,17701.0,0.0
24901,0,0,0,17761.0,0.0
40261,0,0,0,17821.0,0.0
55621,0,0,0,17881.0,0.0
5446,0,0,0,17941.0,0.0
20806,0,0,0,18001.0,0.0
36166,0,0,0,18061.0,0.0
51526,0,0,0,18121.0,0.0
1351,0,0,0,18181.0,0.0
16711,0,0,0,18241.0,0.0
32071,0,0,0,18301.0,0.0
47431,0,0,0,18361.0,0.0
62791,0,0,0,18421.0,0.0
12616,0,0,0,18481.0,0.0
27976,0,0,0,18541.0,0.0
43336,0,0,0,18601.0,0.0
58696,0,0,0,18661.0,0.0
8521,0,0,0,18721.0,0.0
23881,0,0,0,18781.0,0.0
39241,0,0,0,18841.0,0.0
54601,0,0,0,18901.0,0.0
4426,0,0,0,18961.0,0.0
19786,0,0,0,19021.0,0.0
35146,0,0,0,19081.0,0.0
50506,0,0,0,19141.0,0.0
331,0,0,0,19201.0,0.0
15691,0,0,0,19261.0,0.0
31051,0,0,0,19321.0,0.0
46411,0,0,0,19381.0,0.0
61771,0,0,0,19441.0,0.0
11596,0,0,0,19501.0,0.0
26956,0,0,0,19561.0,0.0
42316,0,0,0,19621.0,0.0
57676,0,0,0,19681.0,0.0
7501,0,0,0,19741.0,0.0
22861,0,0,0,19801.0,0.0
38221,0,0,0,19861.0,0.0
53581,0,0,0,19921.0,0.0
3406,0,0,0,19981.0,0.0
19022,0,0,0,20042.0,0.0
34382,0,0,0,20102.0,0.0
49742,0,0,0,20162.0,0.0
65102,0,0,0,20222.0,0.0
14927,0,0,0,20282.0,0.0
30287,0,0,0,20342.0,0.0
45647,0,0,0,20402.0,0.0
61007,0,0,0,20462.0,0.0
10832,0,0,0,20522.0,0.0
26192,0,0,0,20582.0,0.0
41552,0,0,0,20642.0,0.0
56912,0,0,0,20702.0,0.0
6737,0,0,0,20762.0,0.0
22097,0,0,0,20822.0,0.0
37457,0,0,0,20882.0,0.0
52817,0,0,0,20942.0,0.0
2642,0,0,0,21002.0,0.0
18002,0,0,0,21062.0,0.0
33362,0,0,0,21122.0,0.0
48722,0,0,0,21182.0,0.0
64082,0,0,0,21242.0,0.0
13907,0,0,0,21302.0,0.0
29267,0,0,0,21362.0,0.0
44627,0,0,0,21422.0,0.0
59987,0,0,0,21482.0,0.0
9812,0,0,0,21542.0,0.0
25172,0,0,0,21602.0,0.0
40532,0,0,0,21662.0,0.0
55892,0,0,0,21722.0,0.0
5717,0,0,0,21782.0,0.0
21077,0,0,0,21842.0,0.0
36437,0,0,0,21902.0,0.0
51797,0,0,0,21962.0,0.0
1622,0,0,0,22022.0,0.0
16982,0,0,0,22082.0,0.0
32342,0,0,0,22142.0,0.0
47702,0,0,0,22202.0,0.0
63062,0,0,0,22262.0,0.0
12887,0,0,0,22322.0,0.0
28247,0,0,0,22382.0,0.0
43607,0,0,0,22442.0,0.0
58967,0,0,0,22502.0,0.0
8792,0,0,0,22562.0,0.0
24152,0,0,0,22622.0,0.0
39512,0,0,0,22682.0,0.0
54872,0,0,0,22742.0,0.0
4697,0,0,0,22802.0,0.0
20057,0,0,0,22862.0,0.0
35417,0,0,0,22922.0,0.0
50777,0,0,0,22982.0,0.0
602,0,0,0,23042.0,0.0
15962,0,0,0,23102.0,0.0
31322,0,0,0,23162.0,0.0
46682,0,0,0,23222.0,0.0
62042,0,0,0,23282.0,0.0
11867,0,0,0,23342.0,0.0
27227,0,0,0,23402.0,0.0
42587,0,0,0,23462.0,0.0
57947,0,0,0,23522.0,0.0
7772,0,0,0,23582.0,0.0
23132,0,0,0,23642.0,0.0
38492,0,0,0,23702.0,0.0
53852,0,0,0,23762.0,0.0
3677,0,0,0,23822.0,0.0
19037,0,0,0,23882.0,0.0
34397,0,0,0,23942.0,0.0
49757,0,0,0,24002.0,0.0
65117,0,0,0,24062.0,0.0
14942,0,0,0,24122.0,0.0
30302,0,0,0,24182.0,0.0
45662,0,0,0,24242.0,0.0
61022,0,0,0,24302.0,0.0
10847,0,0,0,24362.0,0.0
26207,0,0,0,24422.0,0.0
41567,0,0,0,24482.0,0.0
56927,0,0,0,24542.0,0.0
6752,0,0,0,24602.0,0.0
22112,0,0,0,24662.0,0.0
37472,0,0,0,24722.0,0.0
52832,0,0,0,24782.0,0.0
2657,0,0,0,24842.0,0.0
18017,0,0,0,24902.0,0.0
33377,0,0,0,24962.0,0.0
48737,0,0,0,25022.0,0.0
64097,0,0,0,25082.0,0.0
13922,0,0,0,25142.0,0.0
29282,0,0,0,25202.0,0.0
44642,0,0,0,25262.0,0.0
60002,0,0,0,25322.0,0.0
9827,0,0,0,25382.0,0.0
25187,0,0,0,25442.0,0.0
40547,0,0,0,25502.0,0.0
55907,0,0,0,25562.0,0.0
5732,0,0,0,25622.0,0.0
21092,0,0,0,25682.0,0.0
36452,0,0,0,25742.0,0.0
51812,0,0,0,25802.0,0.0
1637,0,0,0,25862.0,0.0
16997,0,0,0,25922.0,0.0
32357,0,0,0,25982.0,0.0
47717,0,0,0,26042.0,0.0
63077,0,0,0,26102.0,0.0
12902,0,0,0,26162.0,0.0
28262,0,0,0,26222.0,0.0
43622,0,0,0,26282.0,0.0
58982,0,0,0,26342.0,0.0
8807,0,0,0,26402.0,0.0
24167,0,0,0,26462.0,0.0
39527,0,0,0,26522.0,0.0
54887,0,0,0,26582.0,0.0
4712,0,0,0,26642.0,0.0
20072,0,0,0,26702.0,0.0
35432,0,0,0,26762.0,0.0
50792,0,0,0,26822.0,0.0
617,0,0,0,26882.0,0.0
15977,0,0,0,26942.0,0.0
31337,0,0,0,27002.0,0.0
46697,0,0,0,27062.0,0.0
62057,0,0,0,27122.0,0.0
11882,0,0,0,27182.0,0.0
27242,0,0,0,27242.0,0.0
42602,0,0,0,27302.0,0.0
57962,0,0,0,27362.0,0.0
7787,0,0,0,27422.0,0.0
23147,0,0,0,27482.0,0.0
38507,0,0,0,27542.0,0.0
53867,0,0,0,27602.0,0.0
3692,0,0,0,27662.0,0.0
19052,0,0,0,27722.0,0.0
34412,0,0,0,27782.0,0.0
49772,0,0,0,27842.0,0.0
65132,0,0,0,27902.0,0.0
14957,0,0,0,27962.0,0.0
30317,0,0,0,28022.0,0.0
45677,0,0,0,28082.0,0.0
61037,0,0,0,28142.0,0.0
10862,0,0,0,28202.0,0.0
26222,0,0,0,28262.0,0.0
41582,0,0,0,28322.0,0.0
56942,0,0,0,28382.0,0.0
6767,0,0,0,28442.0,0.0
22127,0,0,0,28502.0,0.0
37487,0,0,0,28562.0,0.0
52847,0,0,0,28622.0,0.0
2672,0,0,0,28682.0,0.0
18032,0,0,0,28742.0,0.0
33392,0,0,0,28802.0,0.0
48752,0,0,0,28862.0,0.0
64112,0,0,0,28922.0,0.0
13937,0,0,0,28982.0,0.0
29297,0,0,0,29042.0,0.0
44657,0,0,0,29102.0,0.0
60017,0,0,0,29162.0,0.0
9842,0,0,0,29222.0,0.0
25202,0,0,0,29282.0,0.0
40562,0,0,0,29342.0,0.0
55922,0,0,0,29402.0,0.0
5747,0,0,0,29462.0,0.0
21107,0,0,0,29522.0,0.0
36467,0,0,0,29582.0,0.0
51827,0,0,0,29642.0,0.0
1652,0,0,0,29702.0,0.0
17012,0,0,0,29762.0,0.0
32372,0,0,0,29822.0,0.0
47732,0,0,0,29882.0,0.0
63092,0,0,0,29942.0,0.0
13173,0,0,0,30003.0,0.0
28533,0,0,0,30063.0,0.0
43893,0,0,0,30123.0,0.0
59253,0,0,0,30183.0,0.0
9078,0,0,0,30243.0,0.0
24438,0,0,0,30303.0,0.0
39798,0,0,0,30363.0,0.0
55158,0,0,0,30423.0,0.0
4983,0,0,0,30483.0,0.0
20343,0,0,0,30543.0,0.0
35703,0,0,0,30603.0,0.0
51063,0,0,0,30663.0,0.0
888,0,0,0,30723.0,0.0
16248,0,0,0,30783.0,0.0
31608,0,0,0,30843.0,0.0
46968,0,0,0,30903.0,0.0
62328,0,0,0,30963.0,0.0
12153,0,0,0,31023.0,0.0
27513,0,0,0,31083.0,0.0
42873,0,0,0,31143.0,0.0
58233,0,0,0,31203.0,0.0
8058,0,0,0,31263.0,0.0
23418,0,0,0,31323.0,0.0
38778,0,0,0,31383.0,0.0
54138,0,0,0,31443.0,0.0
3963,0,0,0,31503.0,0.0
19323,0,0,0,31563.0,0.0
34683,0,0,0,31623.0,0.0
50043,0,0,0,31683.0,0.0
65403,0,0,0,31743.0,0.0
15228,0,0,0,31803.0,0.0
30588,0,0,0,31863.0,0.0
45948,0,0,0,31923.0,0.0
61308,0,0,0,31983.0,0.0
11133,0,0,0,32043.0,0.0
26493,0,0,0,32103.0,0.0
41853,0,0,0,32163.0,0.0
57213,0,0,0,32223.0,0.0
7038,0,0,0,32283.0,0.0
22398,0,0,0,32343.0,0.0
37758,0,0,0,32403.0,0.0
53118,0,0,0,32463.0,0.0
2943,0,0,0,32523.0,0.0
18303,0,0,0,32583.0,0.0
33663,0,0,0,32643.0,0.0
49023,0,0,0,32703.0,0.0
64383,0,0,0,32763.0,0.0
14208,0,0,0,32823.0,0.0
29568,0,0,0,32883.0,0.0
44928,0,0,0,32943.0,0.0
60288,0,0,0,33003.0,0.0
10113,0,0,0,33063.0,0.0
25473,0,0,0,33123.0,0.0
40833,0,0,0,33183.0,0.0
56193,0,0,0,33243.0,0.0
6018,0,0,0,33303.0,0.0
21378,0,0,0,33363.0,0.0
36738,0,0,0,33423.0,0.0
52098,0,0,0,33483.0,0.0
1923,0,0,0,33543.0,0.0
17283,0,0,0,33603.0,0.0
32643,0,0,0,33663.0,0.0
48003,0,0,0,33723.0,0.0
63363,0,0,0,33783.0,0.0
13188,0,0,0,33843.0,0.0
28548,0,0,0,33903.0,0.0
43908,0,0,0,33963.0,0.0
59268,0,0,0,34023.0,0.0
9093,0,0,0,34083.0,0.0
24453,0,0,0,34143.0,0.0
39813,0,0,0,34203.0,0.0
55173,0,0,0,34263.0,0.0
4998,0,0,0,34323.0,0.0
20358,0,0,0,34383.0,0.0
35718,0,0,0,34443.0,0.0
51078,0,0,0,34503.0,0.0
903,0,0,0,34563.0,0.0
16263,0,0,0,34623.0,0.0
