0,1,2,3,Intensity
0,0,0,0,0
15360,0,0,0,0
30720,0,0,0,0
46080,0,0,0,0
61440,0,0,0,0
11265,0,0,0,0
26625,0,0,0,0
41985,0,0,0,0
57345,0,0,0,0
7170,0,0,0,0
22530,0,0,0,0
37890,0,0,0,0
53250,0,0,0,0
3075,0,0,0,0
18435,0,0,0,0
33795,0,0,0,0
49155,0,0,0,0
64515,0,0,0,0
14340,0,0,0,0
29700,0,0,0,0
45060,0,0,0,0
60420,0,0,0,0
10245,0,0,0,0
25605,0,0,0,0
40965,0,0,0,0
56325,0,0,0,0
6150,0,0,0,0
21510,0,0,0,0
36870,0,0,0,0
52230,0,0,0,0
2055,0,0,0,0
17415,0,0,0,0
32775,0,0,0,0
48135,0,0,0,0
63495,0,0,0,0
13320,0,0,0,0
28680,0,0,0,0
44040,0,0,0,0
59400,0,0,0,0
9225,0,0,0,0
24585,0,0,0,0
39945,0,0,0,0
55305,0,0,0,0
5130,0,0,0,0
20490,0,0,0,0
35850,0,0,0,0
51210,0,0,0,0
1035,0,0,0,0
16395,0,0,0,0
31755,0,0,0,0
47115,0,0,0,0
62475,0,0,0,0
12300,0,0,0,0
27660,0,0,0,0
43020,0,0,0,0
58380,0,0,0,0
8205,0,0,0,0
23565,0,0,0,0
38925,0,0,0,0
54285,0,0,0,0
4110,0,0,0,0
19470,0,0,0,0
34830,0,0,0,0
50190,0,0,0,0
15,0,0,0,0
15375,0,0,0,0
30735,0,0,0,0
46095,0,0,0,0
61455,0,0,0,0
11280,0,0,0,0
26640,0,0,0,0
42000,0,0,0,0
57360,0,0,0,0
7185,0,0,0,0
22545,0,0,0,0
37905,0,0,0,0
53265,0,0,0,0
3090,0,0,0,0
18450,0,0,0,0
33810,0,0,0,0
49170,0,0,0,0
64530,0,0,0,0
14355,0,0,0,0
29715,0,0,0,0
45075,0,0,0,0
60435,0,0,0,0
10260,0,0,0,0
25620,0,0,0,0
40980,0,0,0,0
56340,0,0,0,0
6165,0,0,0,0
21525,0,0,0,0
36885,0,0,0,0
52245,0,0,0,0
2070,0,0,0,0
17430,0,0,0,0
32790,0,0,0,0
48150,0,0,0,0
63510,0,0,0,0
13335,0,0,0,0
28695,0,0,0,0
44055,0,0,0,0
59415,0,0,0,0
9240,0,0,0,0
24600,0,0,0,0
39960,0,0,0,0
55320,0,0,0,0
5145,0,0,0,0
20505,0,0,0,0
35865,0,0,0,0
51225,0,0,0,0
1050,0,0,0,0
16410,0,0,0,0
31770,0,0,0,0
47130,0,0,0,0
62490,0,0,0,0
12315,0,0,0,0
27675,0,0,0,0
43035,0,0,0,0
58395,0,0,0,0
8220,0,0,0,0
23580,0,0,0,0
38940,0,0,0,0
54300,0,0,0,0
4125,0,0,0,0
19485,0,0,0,0
34845,0,0,0,0
50205,0,0,0,0
30,0,0,0,0
15390,0,0,0,0
30750,0,0,0,0
46110,0,0,0,0
61470,0,0,0,0
11295,0,0,0,0
26655,0,0,0,0
42015,0,0,0,0
57375,0,0,0,0
7200,0,0,0,0
22560,0,0,0,0
37920,0,0,0,0
53280,0,0,0,0
3105,0,0,0,0
18465,0,0,0,0
33825,0,0,0,0
49185,0,0,0,0
64545,0,0,0,0
14370,0,0,0,0
29730,0,0,0,0
45090,0,0,0,0
60450,0,0,0,0
10275,0,0,0,0
25635,0,0,0,0
40995,0,0,0,0
56355,0,0,0,0
6180,0,0,0,0
21540,0,0,0,0
36900,0,0,0,0
52260,0,0,0,0
2085,0,0,0,0
17445,0,0,0,0
32805,0,0,0,0
48165,0,0,0,0
63525,0,0,0,0
13350,0,0,0,0
28710,0,0,0,0
44070,0,0,0,0
59430,0,0,0,0
9511,0,0,0,0
24871,0,0,0,0
40231,0,0,0,0
55591,0,0,0,0
5416,0,0,0,0
20776,0,0,0,0
36136,0,0,0,0
51496,0,0,0,0
1321,0,0,0,0
16681,0,0,0,0
32041,0,0,0,0
47401,0,0,0,0
62761,0,0,0,0
12586,0,0,0,0
27946,0,0,0,0
43306,0,0,0,0
58666,0,0,0,0
8491,0,0,0,0
23851,0,0,0,0
39211,0,0,0,0
54571,0,0,0,0
4396,0,0,0,0
19756,0,0,0,0
35116,0,0,0,0
50476,0,0,0,0
301,0,0,0,0
15661,0,0,0,0
31021,0,0,0,0
46381,0,0,0,0
61741,0,0,0,0
11566,0,0,0,0
26926,0,0,0,0
42286,0,0,0,0
57646,0,0,0,0
7471,0,0,0,0
22831,0,0,0,0
38191,0,0,0,0
53551,0,0,0,0
3376,0,0,0,0
18736,0,0,0,0
34096,0,0,0,0
49456,0,0,0,0
64816,0,0,0,0
14641,0,0,0,0
30001,0,0,0,0
45361,0,0,0,0
60721,0,0,0,0
10546,0,0,0,0
25906,0,0,0,0
41266,0,0,0,0
56626,0,0,0,0
6451,0,0,0,0
21811,0,0,0,0
37171,0,0,0,0
52531,0,0,0,0
2356,0,0,0,0
17716,0,0,0,0
33076,0,0,0,0
48436,0,0,0,0
63796,0,0,0,0
13621,0,0,0,0
28981,0,0,0,0
44341,0,0,0,0
59701,0,0,0,0
9526,0,0,0,0
24886,0,0,0,0
40246,0,0,0,0
55606,0,0,0,0
5431,0,0,0,0
20791,0,0,0,0
36151,0,0,0,0
51511,0,0,0,0
1336,0,0,0,0
16696,0,0,0,0
32056,0,0,0,0
47416,0,0,0,0
62776,0,0,0,0
12601,0,0,0,0
27961,0,0,0,0
43321,0,0,0,0
58681,0,0,0,0
8506,0,0,0,0
23866,0,0,0,0
39226,0,0,0,0
54586,0,0,0,0
4411,0,0,0,0
19771,0,0,0,0
35131,0,0,0,0
50491,0,0,0,0
316,0,0,0,0
15676,0,0,0,0
31036,0,0,0,0
46396,0,0,0,0
61756,0,0,0,0
11581,0,0,0,0
26941,0,0,0,0
42301,0,0,0,0
57661,0,0,0,0
7486,0,0,0,0
22846,0,0,0,0
38206,0,0,0,0
53566,0,0,0,0
3391,0,0,0,0
18751,0,0,0,0
34111,0,0,0,0
49471,0,0,0,0
64831,0,0,0,0
14656,0,0,0,0
30016,0,0,0,0
45376,0,0,0,0
60736,0,0,0,0
10561,0,0,0,0
25921,0,0,0,0
41281,0,0,0,0
56641,0,0,0,0
6466,0,0,0,0
21826,0,0,0,0
37186,0,0,0,0
52546,0,0,0,0
2371,0,0,0,0
17731,0,0,0,0
33091,0,0,0,0
48451,0,0,0,0
63811,0,0,0,0
13636,0,0,0,0
28996,0,0,0,0
44356,0,0,0,0
59716,0,0,0,0
9541,0,0,0,0
24901,0,0,0,0
40261,0,0,0,0
55621,0,0,0,0
5446,0,0,0,0
20806,0,0,0,0
36166,0,0,0,0
51526,0,0,0,0
1351,0,0,0,0
16711,0,0,0,0
32071,0,0,0,0
47431,0,0,0,0
62791,0,0,0,0
12616,0,0,0,0
27976,0,0,0,0
43336,0,0,0,0
58696,0,0,0,0
8521,0,0,0,0
23881,0,0,0,0
